,normalized,meaning
3376,осыпаться,"осыпаться\n1. ашIпIлара́ацIла абыгъьква ашIплатIлистья дерева осыпалисьанартыхв ашIпIлатIзёрна кукурузы осыпались (с кочана)ацIла абыгъьква ашIплатIлистья дерева осыпалисьанартыхв ашIпIлатIзёрна кукурузы осыпались (с кочана)\n2. гIашIпIлара́ [осыпаться  (о зёрнах подсолнуха, кукурузы и т. п.)]абыгъьква гIашIпIлитIлистья осыпаютсяабыгъьква гIашIпIлитIлистья осыпаются\n3. гIашIыгIвгIвра́адзыгIв атшпы гIашIыгIвгIвитIберег реки осыпаетсяадзыгIв атшпы гIашIыгIвгIвитIберег реки осыпается\n4. кIапIлара́ачхъаква кIапIлатIзлаки осыпалисьабыгъьква кIапIлатIлистья осыпалисьачхъаква кIапIлатIзлаки осыпалисьабыгъьква кIапIлатIлистья осыпались\n5. хъпIлара́ачхъаква хъпIлатIколосья осыпались\n6. шIпIлара́абыгъьква шIпIлитIлистья осыпаютсяабыгъьква шIпIлитIлистья осыпаются\n7. шIшвшвара́абыгьква ашIшвшвитIлистья опадаютабыгьква ашIшвшвитIлистья опадают"
3377,узковедомственный,I. узковедомственный\n1. ведомствакI йапщылу *(заимствовано из русского)\n2. йщардачвам нхартаквакI йырпщылу\n3. уыс хвыцкI агIальаматра йащту\n4. ашIыпIа гIальаматра йащтуузковедомственные целиашIыпIа азыгIальаматра мурадква йрыщту
3379,межзональный,I. межзональный\n1. шIыпIабжьара\n2. ашIыпIаква руацIаламежзональное совещаниеашIыпIаква руацIала йацакIвдыршауа айззара
3380,перечислять,перечислять\n1. ашIы́пхьадзара [перечислять  всех]йгIайкваз ашIыпхьадзараперечислить явившихся
3381,перечисление,перечисление\n1. ашIы́пхьадзара
3382,шелушить,шелушить\n1. ашIырпIлара́ [шелушить  зёрна (подсолнуха и т. п.)]\n2. хъырпIлара́ II. [шелушить  (семечки подсолнуха) что]
3383,сравнивать,сравнивать\n1. ашIырпшра́ [сравнивать  одно с другим]
3385,косность,I. косность\n1. гIахьшвара\n2. ашIыцра аламхIварабороться с косностьюашIыцра аламхIвара абакIра
3387,песня,"песня\n1. ашва́ашва кьахввесёлая песняашва гIаларышвразапевать песнюашва хIварапеть песнюашважвстаринная песняапхъазаман ашвастаринная песнязашва зымамачIыз йхыхъвшв алайцIатIпосл. кому своей песни показалось мало, тот добавил к ней своё оружие т. е. бороться и словом и оружиемачвагъварацIис ашвапесня жаворонка\n2. уара́дфыр уарадгероическая песнягвхахIва уарадпраздничная песнясаби уараддетская песняуарад хIварапеть песнюуарад уысарасочинить песню\n3. уарады́жв [песня  старинная]"
3388,песенный,песенный\n1. ашва́ашва макъымпесенная мелодия\n2. уара́дуарад макъымпесенный напев
3389,запевала,запевала\n1. ашвагIалары́швыгIвашвагIаларышвыгIв быжьдуголосистый запевала\n2. гIа́ларышвыгIв
3390,стандартизация,I. стандартизация\n1. ашвапхала йчпара\n2. ашвапха йгIаквхра\n3. йара швапхакI йтажьра\n4. йшвапхачIвра
3394,шведы,I. шведы\n1. ашведква *(заимствовано из русского)
3395,швейцарцы,I. швейцарцы\n1. ашвейцарква *(заимствовано из русского)\n2. Швейцария абзазагIвчва *(заимствовано из русского)
3396,сыроваренный,сыроваренный\n1. ашвхъы́хыртаашвхъыхырта заводсыроваренный завод
3397,ошибаться,"ошибаться\n1. а́швцра [ошибаться  в чём]\n2. гIва́щарайнымхауа дыгьгIващумпосл. тот не ошибается, кто не работает\n3. хъгIва́щалгIара"
3398,документация,I. документация\n1. швъала йырцIабыргра\n2. ашвъаква
3399,сыр,сыр\n1. ашвы́
3400,сырный,сырный\n1. ашвы́ашв фгIвысырный запах
3403,шорцы,I. шорцы\n1. ашорква *(заимствовано из русского)
3404,шотландцы,I. шотландцы\n1. ашотландква *(заимствовано из русского)
3405,коренной,I. коренной\n1. хъада\n2. ашта йауукоренные преобразованияапсахра хъадаквакоренное населениеашта йауу угIа
3407,внештатный,I. внештатный\n1. аштат йалам *(заимствовано из русского)\n2. аштат йаланамкIуавнештатный инспектораштат йалам инспекторвнештатный корреспонденташтат йалам корреспондентвнештатный отдел райкома партииапартия арайком аштат йалам аотдел
3412,алтей,алтей\n1. ашхъых Уапшы матахъвайдуAlthaea L.\n2. матахъвайдуAlthaea L.\n3. матахъвайдуAlthaea officinalis L.[алтей лекарственный]
3413,жалоба,жалоба\n1. тхIаусы́хараI. жалоба\n1. тхIаусыхара\n2. ашшрарассмотреть жалобуатхIаусыхара алапшра
3421,обувать,обувать\n1. ащацIара́ [обувать  кого]\n2. хъацIара́ [обувать  что]ачрыкъвква ахъацIараобуть сапоги\n3. швы́цIара [обувать  кого]
3429,ухаживать,"ухаживать\n1. абахъпшы́лра [ухаживать  друг за другом]\n2. а́щтазлара [ухаживать  за кем]\n3. ащта́злара [ухаживать  друг за другом]\n4. а́щталра [ухаживать  (за женщиной)]\n5. нкъвгара́ [ухаживать  за кем]ахIвысква нкъвгараухаживать за телятамиачымазагIв дынкъвгараухаживать за больнымарахв нкъвызгауа йчIвыпIпосл. кто ухаживает за скотом, тому скот и принадлежит\n6. псатлы́хвра [ухаживать  (за женщиной)]\n7. хьпшра́ [ухаживать  за кем-чем]\n8. щта́лра [ухаживать  (за женщиной)]"
3433,беспорядок,беспорядок\n1. алмыргара́\n2. ащтамца́раанхара ащтамцаракванеполадки в работе
3435,ясенец,ясенец\n1. ащтанчIвдыгьDictamnus L.\n2. хIврадыгь Уапшы хIврайшаDictamnus L.\n3. хIврайшаDictamnus L.
3436,болиголов,болиголов\n1. ащтанчIвкIакIырсаConium maculatum L.[болиголов пятнистый]
3438,змея,"змея\n1. ащтанчIвы́агIвыбыхъвкI рбжьара аныла-арыла йнахъва-гIахъвауа ащтанчIв бжьата йыгIвитIзагадка между двумя скалами, извиваясь, змея ползётотгадка адзыгIв река\n2. дза́щтанчIв [змея  водяная]\n3. маты́ (диалект: ащхъарауа)шхIым матыядовитая змея\n4. щтанчIвы́ [змея  ядовитая]ащтанчIв бжащы йкшарныс ахъа гIащтIнахитIпосл. недобитая змея поднимает голову [чтобы укусить]"
3439,змеиный,змеиный\n1. ащтанчIвы́ащтанчIв гIваразмеиная нораащтанчIв уаузмеиный яд\n2. маты́ (диалект: ащхъарауа)маты уаузмеиный яд
3441,молочай,молочай\n1. ащтанчIвыхш Уапшы шитанкIыкIаEuphorbia L.\n2. хшыгIатычIва Уапшы шитанкIыкIаEuphorbia L.\n3. хшыхIвра Уапшы шитанкIыкIаEuphorbia L.\n4. шайтанкIыкIа Уапшы шитанкIыкIаEuphorbia L.\n5. шайтанхшы Уапшы шитанхшыEuphorbia L.\n6. шитанкIыкIаEuphorbia L.\n7. шитанхшы Уапшы шитанкIыкIаEuphorbia L.
3443,валериана,валериана\n1. ащтанчIвыхъвшв Уапшы гвыхьхIвраValeriana officinalis L (S. J.).[валериана лекарственная]\n2. гвыхьхIвраValeriana officinalis (L.) S. i.[валериана лекарственная]\n3. гIвычIвгIвысхъвш Уапшы гвыхьхIвраValeriana officinalis (S. J.).[валериана лекарственная]\n4. къвбырщыга Уапшы гвыхьхIвраValeriana officinalis L.[валериана лекарственная]\n5. цIыдзщыга Уапшы гвыхьхIвраValeriana officinalis L.[валериана лекарственная]\n6. чвынцIщыга Уапшы гвыхьхIвраValeriana officinalis L (S. J.).[валериана лекарственная]
3447,посещать,"посещать\n1. абабара́ [посещать  друг друга]агIвайшвчва гьабабум, йашIашIпсгIитI, йадгылра гьрылшумзагадка два брата друг с другом не видятся, друг друга любят, но встретиться не могутотгадка агIвылакI глаза\n2. ащтацара́ [посещать  друг друга]сынбджьагIв дсыщтагIайтIменя навестил мой товарищ\n3. щтагIа́йра [посещать  кого-что]\n4. щтаны́къвара [посещать  друг друга]"
3448,ритмичность,I. ритмичность\n1. ащтацара\n2. пышвт амамызлараритмичность производстваагIархарджьра пышвт амамызлара
3449,порядок,порядок\n1. ргIапсща́ [порядок  установленный]къральыгIва ргIапсщагосударственное устройствоI. порядок\n1. хабза\n2. акIвшаща\n3. ргIапсща\n4. ащтацащапорядок выборов в Верховный Совет СССРСССР йхIаракIу а-Совет апны алхраква ракIвыршащапорядок голосованияалхраква ракIвыршаща
3450,хронология,хронология\n1. хроноло́гия *(заимствовано из русского)I. хронология\n1. замангIвыра\n2. заманащтацаща\n3. ащтацаща зму\n4. йащтацауата йгIаншауа
3451,постепенный,I. постепенный\n1. мачI-мачIымца\n2. ащтацащакI амата\n3. йащтацауатапостепенное сближение социалистических нацийасоциалист угIахъаква мачI-мачIымцара йазаргванхарапостепенный переход от социализма к коммунизмусоциализм ащтацащакI амата коммунизм йазцара
3452,нормализация,I. нормализация\n1. рбзира\n2. ащтащтира\n3. хабзакI йтаргылранормализация международных отношенийакральква разазаъащаква ащтащтира
3453,привыкать,"привыкать\n1. агIбара́ [привыкать  легко (к новому климату, местожительству и т. п.)]\n2. а́щцара [привыкать  к кому-чему]\n3. ащцара́ [привыкать  друг к другу]\n4. гIабара́ II. [привыкать  к кому-чему]\n5. гIа́щцара [привыкать  к коми-чему]ала апшвыма шIыц йгIайыщцатIсобака привыкла к новому хозяину\n6. за́гIбара [привыкать  к чему]\n7. тшары́щцара [привыкать  к чему]атопасра тшарыщцараучиться играть в мяч\n8. щцара́щымта гылра ащцарапривыкнуть рано вставать"
3455,пехота,пехота\n1. пехо́та *(заимствовано из русского)I. пехота\n1. пехота *(заимствовано из русского)\n2. ащъагIв айсыгIвчва
3456,приставать,приставать\n1. ащы́хIалра [приставать  друг к другу]\n2. гIакIынха́лра [приставать  к кому -чему]айква апIай гIакIынхалтIк брюкам пристала грязь\n3. кIны́лра [приставать  к кому-чему]акостюм хIвынчIвы акIнылтIгрязь пристала к костюму\n4. црахара́ [приставать  к кому-чему]
3457,существование,существование\n1. бза́зараауи бзазара гIальамат ницIытIон прожил интересную жизнь\n2. бзаха́раI. существование\n1. аъазара\n2. бзазарасуществование мираадуней аъазлара
3458,находиться,"находиться\n1. а́дзхъазлара [находиться  возле, около, вблизи, у кого-чего]\n2. адзхъа́злара [находиться  вместе, рядом друг с другом]\n3. а́дзхъачIвазлара [находиться  возле, около кого-чего]\n4. адзхъачIва́злара [находиться  вместе, рядом с кем-чем]\n5. а́квызлара [находиться  на чём]\n6. а́квылра [находиться  на чём]ачIвартагъвы аквылралечь на койку\n7. а́лазлара [находиться  где]айыззара алазларабыть на собранииайсра алазларабыть на фронтеадемонстрация алазлараучаствовать в демонстрацииауагIа рквта алазларабыть в гуще народаачварта алазларабыть (находиться) в постелиакомсомол алазларабыть в рядах комсомола\n8. а́памазлара [находиться  где]ауи Москва дапамапIон сейчас в Москве\n9. а́цзара [находиться  при ком-чём]ауи атшква дрыцпIон находится при лошадях\n10. ацы́злара [находиться  вместе с кем]\n11. а́ъазлара [находиться  где]\n12. пшцIа́злара [находиться  где]акIьадыгв пшцIазларанаходиться во дворе\n13. тагы́лазлара [находиться  в чём]ахIатшпы быгIв гвара тагылапIзагадка в пещере костяной забор стоитотгадка ашIауацIи апыцкви рот и зубы\n14. та́злара [находиться  в чём]ачва абора йтапIсено в сарае, сено находится в сарае\n15. тачIва́злара [находиться  в чём]амашина тачIвазларасидеть в машине\n16. чIва́злара [находиться  где]мыш хъвлагIандзакI агIвна чIвазларасидеть целый день [внутри] дома"
3459,пребывание,пребывание\n1. а́ъазлара\n2. та́злара
3460,местонахождение,"местонахождение дословный перевод - место, где находится (что-либо или кто-либо) \n1. аъаны́ртау города хорошее местонахождениеакъа́ла аъаны́рта бзи́пINeo dictionary"
3461,около,около\n1. а́ъара II.асахIат абыжьбаква раъара йнадзатIуже около семи часов\n2. *д*адоска сыдгылапIя стою у доскиастоль дыдчIвалапIон сидит за столоматдзы адгылазларастоять около дома\n3. ъагIвабльа́гIва II.адзы аъагIвабльагIва абна ажвпIара гIалагитIвозле реки начинается густой лес
3462,аннулирование,I. аннулирование\n1. птшыхра\n2. мпхьадзахра\n3. аъахымзлара\n4. азыргIварааннулирование государственных долговакъраль апсарчIвква азыргIварааннулирование договораангIалра птшыхрааннулирование займаазаем аъахымзлара
3463,дисквалификация,I. дисквалификация\n1. аъачIвагIа чвыдзра\n2. аъачIвагIа рыдзра
3465,состояние,состояние\n1. а́ъащаазгIвадара аъащасостояние здоровья\n2. бгъа́гъ\n3. млы́квкъраль млыквгосударственное имуществомлыкв рхIаранаживать состояние\n4. тла́пса\n5. тла́шIа\n6. чIе́н [состояние  (оставшиеся после чьей-либо смерти)]I. состояние\n1. аъащасостояние страныакъраль аъащасостояние невесомостихIатладара аъаща
3467,стабилизация,I. стабилизация\n1. йрыбагъьара\n2. йщаквыргылхра\n3. аъаща багъьа атра (йтажьра)\n4. йымпсахрастабилизация ценахвква мпсахрастабилизация экономикиэкономика аъаща багъьа йтажьра
3468,стабильность,I. стабильность\n1. мпсахра\n2. багъьазлара\n3. аъаща багъьа йтаргылрастабильность законовахабзаква багъьазларастабильность учебниковапхьагаква мпсахра
3469,дестабилизация,I. дестабилизация\n1. аъаща псахра\n2. аъаща мрыбагъьара\n3. тлапса багъьа амтра
3471,напряженный,"I. напряженный (напряжённый)\n1. аъаща хIатла, аквыргъвгьваранапряжённая обстановкааъаща хIатланапряжённые международные отношенияакъральыгIваква разазаъаща хIатлаква"
3472,унификация,I. унификация\n1. аъащакI йтажьраунификация орфографииаорфография аъащакI йтажьра (йтаргылра)
3473,устойчивый,устойчивый\n1. щапIгъвгъва́ (диалект: ащхъарауа)стол щапIгъвгъвапрочный столI. устойчивый\n1. багъьа\n2. аъащакI йыквуустойчивое международное положениедуней аъаща багъьаустойчивые политические взглядыаъащакI йыкву аполитика азхъвыцраква
3474,неравномерный,I. неравномерный\n1. аъащакI йыквымнеравномерное развитие капитализмааъащакI йыквым капитализм тшауацIыхра
3475,относительный,I. относительный\n1. закIы алала йтамаму\n2. аъащаквакI рылала йтамаму\n3. злалаотносительная истинааъащаквакI ралала йтамаму ацIабырготносительная заработная платанхаша хIакъкI алала йтамаму анхашахIакъотносительное перепроизводствогIацIщтракI алала йщарду агIацIщтра
3476,эвены,I. эвены\n1. аэвенква *(заимствовано из русского)
3477,эвенки,I. эвенки\n1. аэвенкква *(заимствовано из русского)
3478,эквадорцы,I. эквадорцы\n1. аэквадорква *(заимствовано из русского)
3479,аэросани,аэросани\n1. аэроджьана́х *(заимствовано из русского)
3480,аэродром,аэродром\n1. аэродро́м *(заимствовано из русского)I. аэродром\n1. аэродром *(заимствовано из русского)\n2. самолетчIварта *(заимствовано из русского)\n3. самолетпссгIарта *(заимствовано из русского)
3482,аэроклуб,аэроклуб\n1. аэроклу́б *(заимствовано из русского)
3483,аэронавигация,аэронавигация\n1. аэронавига́ция *(заимствовано из русского)
3484,аэроплан,аэроплан\n1. аэропла́н *(заимствовано из русского)
3485,аэропорт,аэропорт\n1. аэропо́рт *(заимствовано из русского)I. аэропорт\n1. аэропорт *(заимствовано из русского)\n2. самолётчIварта *(заимствовано из русского)\n3. самолётгIадгылырта *(заимствовано из русского)
3487,аэростат,аэростат\n1. аэроста́т *(заимствовано из русского)
3488,аэрофлот,I. аэрофлот\n1. аэрофлот *(заимствовано из русского)
3489,эскимосы,I. эскимосы\n1. аэскимосква *(заимствовано из русского)
3490,эстонцы,I. эстонцы\n1. аэстонква *(заимствовано из русского)
3491,эфиопы,I. эфиопы\n1. аэфиопква *(заимствовано из русского)
3492,югославы,I. югославы\n1. аюгославква *(заимствовано из русского)
3493,юкагиры,I. юкагиры\n1. аюкагирква *(заимствовано из русского)
3494,якуты,I. якуты\n1. аякутква *(заимствовано из русского)
3495,японцы,I. японцы\n1. аяпонква *(заимствовано из русского)\n2. Япония абзазагIвчва *(заимствовано из русского)
3497,лохматый,"лохматый\n1. ба́бахъа бабалохматая головаамшв аквыджьма амабабапIпосл. медвёдю кажется, что волк более космат, чем он\n2. къвабабжва́баанапI къвабабжвабакваволосатые руки\n3. къва́цахъылпа къвацалохматая шапкахъа къвацалохматая голова\n4. хъвба́бамышв хъвбабалохматый медведь"
3498,взлохмачиваться,взлохмачиваться\n1. ба́бахара\n2. гIаба́бахара
3499,утка,утка\n1. бабы́щбабыщ арыбаселезеньбабыщ арцынаутка (самка)бабыщ чырутёнок\n2. дзыбабы́щ [утка  дикая]
3500,утиный,утиный\n1. бабы́щбабыщ квтIагъьутиное яйцо
3501,тот,тот\n1. анахьани́анахьани атшпы арыла йнаубитIотсюда виден другой берег\n2. ауи́
3502,утководство,утководство\n1. бабы́щрхIарабабыщрхIара файда бзи гIаунатитIразведение уток даёт хороший доход
3503,утятина,утятина\n1. бабыщы́жь
3504,кошелек,кошелек\n1. ба́гIвчаахча абагIвча йтацIараположить деньги в кошелёкахча абагIвча йтацIараположить деньги в кошелёк
3505,ремешок,ремешок\n1. агIа́ [ремешок  (из сыромятной кожи)]\n2. багIвырда́къ [ремешок  тонкий кожаный (при помощи которого кнут прикрепляется к кнутовищу)]\n3. пыцIацIа́ [ремешок  узкий (вплетённый в кнут)]
3506,лепешка,лепешка\n1. багIвырса́къ [лепешка  жаренная в масле]\n2. къальта́ма [лепешка  круглая (жаренная в масле – национальное блюдо)]\n3. хIаты́кънартыхв хIатыкъкукурузный чурекнартыхв хIатыкъкукурузный чурек
3507,лиса,"лиса\n1. бага́бага гIвабджьачернобурая лисабага лабалисбага лапслиса (самка)бага чырлисёнокуара убагацIыхъвазтын, сара сбагапIпосл. если ты лисий хвост, то я лиса т. е. если ты хитёр, то я ещё хитрееабага ачва агъапIпосл. шкурка лисицы - её враг"
3508,лисий,лисий\n1. бага́бага чвалисья шкуркабага къазщалисьи повадки
3509,шакал,шакал\n1. багадза́абагадзаква руыуравой шакалов
3510,шакалий,шакалий\n1. багадза́
3511,багаж,багаж\n1. бага́ж *(заимствовано из русского)ахIапчыпква багажла йаущтраотправить вещи багажом
3512,багажный,багажный\n1. бага́ж *(заимствовано из русского)багаж вагонбагажный вагонбагаж квитанциябагажная квитанция
3513,лисохвост,лисохвост\n1. багацIыхъваAlopecurus pratensis L.[лисохвост луговой]
3514,твердый,"твердый\n1. багъьа́адгьыл багъьатвёрдая почвазажва багъьам айгва дыгьйымампосл. у кого нет твёрдого слова, у того не будет другаадгьыл багъьатвёрдая почвазажва багъьам айгва дыгьйымампосл. у кого нет твёрдого слова, у того не будет друга\n2. гIары́хъвауачва"
3515,скупец,скупец\n1. багъьа́\n2. джьы́бгъа\n3. къаза́р\n4. пскIьа́
3516,прочный,прочный\n1. ладзара́ладзара зму асхъапрочная ткань\n2. щапIгъвгъва́ (диалект: ащхъарауа)стол щапIгъвгъвапрочный столI. прочный\n1. багъьа\n2. уызквгвыгъа ауаш\n3. тшзымпсахуапрочный мирмамыр багъьапрочные сооруженияауыхвара багъьаква
3517,закалка,"закалка\n1. ладзара́\n2. сайра́ прям., перен.I. закалка\n1. сайра\n2. чхIара ду амазлара\n3. къарула йа ъадаб-намысла чхIара амазлара\n4. багъьазларазакалка советской молодёжисовет чкIвыныргIа рсайра"
3518,бастион,I. бастион\n1. бастион *(заимствовано из русского)\n2. багъьарабастион социализмасоциализм абагъьара
3519,беспринципность,I. беспринципность\n1. принцип амамызлара *(заимствовано из русского)\n2. принцип аламызлара *(заимствовано из русского)\n3. уыскI багъьара алата зыквмызлара\n4. багъьара амамызларабеспринципность в теоретических вопросахатеория уысква рпны багъьара амамызларабеспринципность поведенияпринцип змам аъаща
3520,заниженный,I. заниженный\n1. йнаркъву\n2. йнакъву\n3. йзлырдзгIу\n4. йырмачIу\n5. багъьара злам\n6. ткIьира зламзаниженные нормы выработкийчпара атахъыта йызлырдзгIу ахачIвквазаниженные требованияа) ткIьира зламб) йнакъву аджьауапкIраква
3522,оборона,оборона\n1. оборо́на *(заимствовано из русского)акъала оборона апланплан обороны городаI. оборона\n1. хчара\n2. багъьартакрепить оборону страныакъраль ахчара рыбагъьара
3523,твердо,твердо\n1. багъьа́таамашакв ахъа багъьата йшIахIваракрепко завязать мешокбагъьата йхIварасказать твёрдоамашакв ахъа багъьата йшIахIваракрепко завязать мешокбагъьата йхIварасказать твёрдо
3524,уверенно,"уверенно дословный перевод - «крепко, прочно»\n1. багъьа́таты уверен, что настало время работать?багъьа́та йуды́рума уынхарны́с азама́н шгIадза́́Neo dictionary"
3525,становление,I. становление\n1. багъьахара\n2. щаквгылрастановление мировой системы социализмасоциализм адуней ргIапсща тшарыбагъьарастановление Нового бытаабзазаща шIыц щаквгылра
3526,паук,паук\n1. ба́гь
3527,паучий,паучий\n1. ба́гьбагь щапIквапаучьи лапы
3528,аренда,"аренда\n1. багьа́ндазакIы багьандата йгIахвравзять что-либо в аренду, арендовать что-либобагьандахварендная платабагьандахв щаквыргылраустановить арендную платуI. аренда\n1. багьандааренда землиадгьыл багьандата йгIахвра"
3530,арендатор,I. арендатор\n1. багьанда гIахвыгIв\n2. багьанда назахвуа
3532,паутина,паутина\n1. багьаха́\n2. гьабаха́
3533,тысячелистник,тысячелистник\n1. багьхIвра Уапшы хвыртахъвшвAchillea L.[тысячелистник обыкновенный]\n2. бгъьызкьFchillefolium L.[тысячелистник обыкновенный]\n3. къвангьажьAchillea nobilis L.[тысячелистник благородный]\n4. къвыджьхIвраAchillea L.\n5. цыгвцIыхъва Уапшы бгъьызкьAchillea millefolium L.[тысячелистник обыкновенный]\n6. цыгвцIыхъваAchillea L.\n7. щашIарысгаAchillea millifolium L.[тысячелистник обыкновенный]
3534,твердость,твердость\n1. багььа́ра
3535,овод,овод\n1. ба́дж (диалект: ащхъарауа)\n2. гIвы́даагIвыдаква атшква гьдыртынчуамоводы не дают покоя лошадям\n3. къвды́р (диалект: ащхъарауа)
3536,горчица,"горчица\n1. баджа Уапшы паднаджьдагвSinapis arvensis L.[горчица полевая]\n2. паднаджьдагвSinapis arvensis L.[горчица полевая]\n3. чыбджьыSinapus L.[горчица белая, культурная]"
3537,период,"период\n1. азхIа́мта [период  роста, развития чего-л]\n2. бадзауа́гIв [период  самый жаркий летний (с июля до конца августа)]\n3. гIамта́гIамта бзихорошее время\n4. зама́насквш азаманквавремена годайанбазаманыз?когда это было?, в какое время это было?заманкI анахъыцIхчерез некоторое времяйара заманкI йацбзазсовременникиазаман чархта йхъынхIвитI: убальарыгътI - угIахьшватIпосл. время вертится, как колесо: прозевал - отстал\n5. тлаха́наколлективизация тлаханпериод коллективизацииI. период\n1. тлаханпериод развернутого строительства коммунизмакоммунизм йауацIыхта йануыхвахауа тлахан"
3538,помидор,"помидор\n1. помидо́р *(заимствовано из русского)\n2. пIатIража́нпомидор\n1. бадражан Уапшы пIатIражанLycopersicum esculenton Mill.[помидор обыкновенный культурный]\n2. бадражанLycopersicum esculenton Mill.[помидор обыкновенный, культурный (плод-ягода помидора обыкновенного, культурного)]\n3. пIатIражанLycopersicum esculenton Mill.[помидор обыкновенный, культурный]\n4. пIатIражанLycopersicum esculenton Mill.[помидор обыкновенный (плоды-ягоды помидора обыкновенного)]\n5. пIатIыржан Уапшы пIатIражанLycopersicum esculenton Mill.\n6. пIатIыржан Уапшы пIатIражанLycopersicum esculenton Mill. ssp. esculentum Prokh."
3540,богатый,"богатый\n1. аза́ъаколхоз азаъабогатый колхоз\n2. ба́жв [богатый  (об урожае)]тшыгIвра бажвбогатый урожайатшыгIвра бажвызтын, ахIвынапгьи гвыргъьитIпосл. обильному урожаю и мышь радуетсябажвапщи!богатого (обильного) вам урожая! (приветствие на пахоте)швынхара бажвхатI!пусть урожай ваш будет обильным! (приветствие на пахоте)швтшыгIвра бажвхатI!пусть урожай ваш будет обильным! (приветствие на пахоте)\n3. ба́йаколхоз байабогатый колхоз\n4. къвле́йколхоз къвлейбогатый колхоз"
3541,урожай,"урожай\n1. ба́жвра [урожай  богатый (обильный)]\n2. мхы́сынчIва амхква швабыжта йбзихатIв этом году очень хороший урожай\n3. тшыгIвра́атшыгIвра бажвызтын ахIвынапгьи гвыргъьитIпосл. если урожай обильный, и мышь радуется"
3542,изобилие,изобилие\n1. баракьа́тI. изобилие\n1. щардазлара\n2. бажвызлара\n3. байара
3544,база,база\n1. ба́за *(заимствовано из русского)турист базатуристская базаайсра базавоенная базаI. база\n1. база *(заимствовано из русского)\n2. щатабаза коммунизмакоммунизм ащатана базе марксизма-ленинизмамарксизм-ленинизм ащата йтата
3546,базар,базар\n1. база́р *(заимствовано из русского)
3547,базарный,базарный\n1. база́р *(заимствовано из русского)базар мышбазарный день
3548,базарные,"базарные\n1. базары́хв *(заимствовано из русского) [базарные  (плата, взимаемая официальным лицом с частных торговцев на рынке)]"
3549,базис,базис\n1. ба́зис *(заимствовано из русского)экономика базисэкономический базисI. базис\n1. базис *(заимствовано из русского)\n2. щатабазис и надстройкабазиси надстройкибазис обществаажвлара рбазис
3551,безмен,безмен\n1. базма́н [безмен  (простейшие рычажные весы)]
3552,богач,"богач\n1. ба́йаабайа йшIацIахъвы арыцхIа йдомбайпIпосл. для богача - кусочек, для бедняка - зубрарыцхIа йкIвагъа абайа йырдзагвитIпосл. топор бедняка затупляет богач т. е. бедняк работает на богача"
3554,бесспорный,бесспорный\n1. байа́ндахIвра байаннесомненный успех
3555,бесспорно,бесспорно\n1. байа́нта
3556,богатство,богатство\n1. ба́йараауагIа рбайаранародное богатство (достояние)\n2. тла́пса\n3. тла́шIа
3557,достояние,достояние\n1. ба́йараауагIа рбайаранародное богатство (достояние)I. достояние\n1. байара\n2. млыкв\n3. йацырчIвудостояние республикиареспублика абайарадостояние общественностиажвлара рымлыкв
3559,сокровище,I. сокровище\n1. байараду\n2. зыхв дуу\n3. хвду змусокровище мировой культурыадуней культура хвду зму абайара
3561,спокойствие,спокойствие\n1. байа́у\n2. дауы́шваауахъ адауышваратишина ночи\n3. мамы́р\n4. сабы́рра\n5. ты́нчра\n6. хIальабальы́къдъа\n7. ъа́сара
3562,дубитель,дубитель\n1. байа́у II.
3563,скумпия,скумпия\n1. байауCotinus coggygria Scop.[скумпия кожевенная]
3564,успокаиваться,"успокаиваться\n1. байа́ураасаби дбайаутIребёнок успокоился\n2. гвза́гъара [успокаиваться  (после пережитого волнения, беспокойства)]\n3. дауы́швахара\n4. мамы́рхара\n5. сабы́рхара\n6. ты́нчхара\n7. тшщаквкIра́тIакIв тшщаквкIы!успокойся, пожалуйста!\n8. тшырты́нчра\n9. хъдзара́\n10. хъдза́хра [успокаиваться  вновь]\n11. хьра́ [успокаиваться  (о человеке)]\n12. щтIазагъара́ [успокаиваться  (улёгшись)]\n13. ъа́сахара"
3565,безвременник,безвременник\n1. байаухIвраColchicum L.
3566,умолкать,умолкать\n1. ашIа́сра II.\n2. байа́ухаратакIв убайау!перестань баловаться!\n3. сабы́рхара
3567,богатеть,богатеть\n1. ахъыгIвгIвра́\n2. ба́йахара\n3. къвле́йхара
3568,бак,бак\n1. ба́к *(заимствовано из русского)абак дзы тачвараналить в бак воды
3569,баклажан,баклажан\n1. баклажа́н *(заимствовано из русского)баклажан\n1. баклажан *(заимствовано из русского)Solanum melongena L.
3570,баклажанный,баклажанный\n1. баклажа́н *(заимствовано из русского)баклажан икрабаклажанная икра
3572,бактериологический,I. бактериологический\n1. бактериология *(заимствовано из русского)бактериологическое оружиебактериология абджьар
3573,бал,бал\n1. ба́л *(заимствовано из русского)\n2. те́уасквшшIыц теуановогодний бал
3574,бальный,бальный\n1. ба́л *(заимствовано из русского)бал ъахвтанбальное платье
3575,балалайка,балалайка\n1. балала́йка *(заимствовано из русского)балалайка асраиграть на балалайке
3576,балалаечный,балалаечный\n1. балала́йка *(заимствовано из русского)балалайка айхацIабалалаечная струна
3577,баланс,баланс\n1. бала́нс *(заимствовано из русского) фин.I. баланс\n1. баланс *(заимствовано из русского)баланс народного хозяйствааугIа рымлыкврхIара абаланс
